Method Name;CCM;CND;CDISP;CINT;FDP;HD;HEF;HER;HL;HVC;HVL;LOC;LAA;LND;MMI;MND;CC;NOAV;NOL;NOPM
ComplexitySink.ComplexitySink.increaseComplexity(Int, PointType);0;0;1,0;1;0;2,5714;124,5395;0,0083;14;11;48,432;7;1,0;0;69,793;0;1;4;0;2
ComplexitySink.ComplexitySink.increaseComplexity(PointType);0;0;0,0;0;0;1,0;11,6096;0,0017;5;5;11,6096;1;0,0;0;92,7082;0;1;1;0;1
ComplexitySink.ComplexitySink.increaseComplexityAndNesting(PointType);0;0;1,0;1;0;4,0;312,5512;0,0154;20;15;78,1378;7;1,0;0;68,3166;0;1;3;0;1
ComplexitySink.ComplexitySink.increaseNesting();0;0;1,0;0;0;0,5;3,1699;0,0007;4;3;6,3399;1;1,0;0;94,5514;0;1;1;0;0
ElementVisitor.ElementVisitor.postProcess(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;0;0;0,0;0;0,0;0;0,0;0;1;0;0;1
ElementVisitor.ElementVisitor.processElement(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;0;0;0,0;0;0,0;0;0,0;0;1;0;0;1
ElementVisitor.ElementVisitor.shouldVisitElement(PsiElement);0;0;0,0;0;0;0,0;0,0;0,0;0;0;0,0;0;0,0;0;0,0;0;1;0;0;1
ElementVisitor.ElementVisitor.visitElement(PsiElement);2;1;0,0;0;0;5,25;369,1189;0,0172;19;13;70,3084;4;0,0;0;73,8541;1;2;1;0;1
FileComplexityVisitor.kt.visitFileFast(ComplexityInfoProvider, (ComplexitySink, PsiElement) -> Unit);3;1;0,5714;7;0;9,9412;2780,4751;0,0659;57;30;279,6928;9;0,5;1;61,9123;2;3;6;1;3
HighCodeComplexityInspection.HighCodeComplexityInspection.checkFile(PsiFile, InspectionManager, Boolean);4;2;0,6923;13;1;11,4828;5166,3422;0,0996;81;47;449,9217;13;0,0;0;56,9816;3;3;9;0;3
JavaComplexityInfoProvider.JavaComplexityInfoProvider.<init>(Language);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
JavaComplexityInfoProvider.JavaComplexityInfoProvider.getNameElementFor(PsiElement);5;3;0,8;5;0;7,0;677,5579;0,0257;27;12;96,794;5;0,0;0;70,6563;2;5;1;0;1
JavaComplexityInfoProvider.JavaComplexityInfoProvider.getVisitor(ComplexitySink);0;0;0,0;0;0;1,5;17,4145;0,0022;5;5;11,6096;1;0,0;0;92,7082;0;1;1;0;1
JavaComplexityInfoProvider.JavaComplexityInfoProvider.isClassWithBody(PsiElement);0;0;1,0;2;0;4,2;203,4146;0,0115;14;11;48,432;1;0,0;0;88,1347;0;2;1;0;1
JavaComplexityInfoProvider.JavaComplexityInfoProvider.isComplexitySuitableMember(PsiElement);0;0;0,0;0;0;2,625;81,0624;0,0062;11;7;30,8809;2;0,0;0;82,9973;0;2;1;0;1
JavaLanguageVisitor.JavaLanguageVisitor.<init>(ComplexitySink);0,0;0,0;0,0;0;0;0,0;0,0;0;1;0;1
